"frame","x [nm]","y [nm]"
1,75817.96959195459,34125.0
1,71915.33724837117,74125.0
1,70790.33724837117,74125.0
1,13375.0,30000.0
1,64709.66275162883,121875.0
1,12250.0,30000.0
1,68750.0,90000.0
1,68750.0,90000.0
1,73290.33724837117,54125.0
1,73277.5324271858,54000.0
1,4750.0,90000.0
1,77375.0,30000.0
1,76250.0,30000.0
1,5875.0,90000.0
1,6790.337248371178,74125.0
1,6777.53242718581,74000.0
1,1500.0,116000.0
1,9250.0,54000.0
1,9250.0,54000.0
1,65790.33724837117,114125.0
1,13319.514930195235,31375.0
1,12153.697166563275,31000.0
1,76153.69716656327,31000.0
1,77319.51493019523,31375.0
1,68625.0,91000.0
1,1790.3372483711782,114125.0
1,73182.03040804541,55000.0
1,12432.030408045408,29000.0
1,77597.4675728142,28000.0
1,76459.66275162883,27875.0
1,73182.03040804541,55000.0
1,4555.485069804766,91750.0
1,12432.030408045408,29000.0
1,4625.0,91000.0
1,68625.0,91000.0
1,9153.697166563275,55000.0
1,9153.697166563275,55000.0
1,12346.302833436725,29000.0
1,12346.302833436725,29000.0
1,1153.6971665632755,119000.0
1,76346.30283343673,29000.0
1,76346.30283343673,29000.0
1,2915.337248371178,114125.0
1,68846.30283343673,89000.0
1,68846.30283343673,89000.0
1,9432.030408045408,53000.0
1,75875.0,33000.0
1,7819.514930195234,75375.0
1,70165.33724837117,88125.0
1,6653.6971665632755,75000.0
1,5000.0,88000.0
1,11875.0,33000.0
1,69040.33724837117,88125.0
1,5040.337248371178,88125.0
1,9432.030408045408,53000.0
1,11846.302833436725,33000.0
1,70682.03040804541,75000.0
1,70682.03040804541,75000.0
1,77083.52329632264,32125.0
1,73432.03040804541,53000.0
1,73432.03040804541,53000.0
1,65527.532427185804,116000.0
1,75790.33724837117,34125.0
1,11750.0,34000.0
1,12875.0,34000.0
1,71777.5324271858,66000.0
1,76067.96959195459,32125.0
1,76067.96959195459,32125.0
1,9305.485069804765,53750.0
1,66665.33724837117,116125.0
1,4875.0,89000.0
1,9346.302833436725,53000.0
1,12067.969591954592,32125.0
1,65153.697166563274,119000.0
1,12040.33724837118,32125.0
1,66915.33724837117,114125.0
1,75959.66275162883,31875.0
1,13097.467572814188,32000.0
1,11932.030408045408,33000.0
1,6083.5232963226445,88125.0
1,68932.03040804541,89000.0
1,68932.03040804541,89000.0
1,72932.03040804541,57000.0
1,14165.33724837118,24125.0
1,13040.33724837118,24125.0
1,8125.0,72000.0
1,4182.030408045409,95000.0
1,64555.48506980476,123750.0
1,4182.030408045409,95000.0
1,69347.4675728142,94000.0
1,78165.33724837117,24125.0
1,77040.33724837117,24125.0
1,68209.66275162883,93875.0
1,64596.302833436726,123000.0
1,8903.697166563275,57000.0
1,7000.0,72000.0
1,8903.697166563275,57000.0
1,6153.6971665632755,79000.0
1,12932.030408045408,25000.0
1,12932.030408045408,25000.0
1,76932.03040804541,25000.0
1,4290.337248371179,94125.0
1,78083.52329632264,24125.0
1,5415.337248371178,94125.0
1,71000.0,72000.0
1,71000.0,72000.0
1,13209.66275162882,21875.0
1,4067.9695919545907,96125.0
1,72805.48506980477,57750.0
1,72846.30283343673,57000.0
1,78375.0,22000.0
1,77250.0,22000.0
1,68041.47670367736,95875.0
1,14347.467572814188,22000.0
1,68096.30283343673,95000.0
1,8791.476703677356,57875.0
1,8817.969591954592,58125.0
1,13125.0,23000.0
1,13125.0,23000.0
1,78319.51493019523,23375.0
1,77125.0,23000.0
1,4459.662751628822,91875.0
1,77819.51493019523,27375.0
1,76653.69716656327,27000.0
1,5597.46757281419,92000.0
1,72069.51493019523,73375.0
1,13819.514930195235,27375.0
1,12653.697166563275,27000.0
1,6875.0,73000.0
1,68500.0,92000.0
1,68500.0,92000.0
1,9041.476703677356,55875.0
1,70903.69716656327,73000.0
1,73096.30283343673,55000.0
1,73055.48506980477,55750.0
1,6875.0,73000.0
1,12540.33724837118,28125.0
1,76567.96959195459,28125.0
1,76567.96959195459,28125.0
1,9067.969591954592,56125.0
1,76846.30283343673,25000.0
1,76846.30283343673,25000.0
1,68305.48506980477,93750.0
1,68346.30283343673,93000.0
1,12846.302833436725,25000.0
1,12846.302833436725,25000.0
1,77875.0,26000.0
1,76750.0,26000.0
1,13875.0,26000.0
1,12750.0,26000.0
1,4375.0,93000.0
1,4375.0,93000.0
1,65653.69716656327,115000.0
1,65067.96959195459,120125.0
1,11833.523296322644,42125.0
1,10682.030408045408,43000.0
1,5817.969591954591,82125.0
1,2083.523296322644,120125.0
1,69817.96959195459,82125.0
